Title,Nb rating,Prices,Nb visits,Rating,Annulation,Duration,Language,Adress
Visite des lieux incontournables à New York,-1,49,4 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,4 heures,Français,NewYork
Excursion de 2 jours à Washington et Philadelphie,-1,103.5,4 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 jours,Français,NewYork
Visite guidée de New York,7,356.3,66 ,44840,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,6 heures,Anglais,NewYork
Visite de nuit dans New York,6,84.5,53 ,9.70 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,4 heures,Anglais,NewYork
Dîner-croisière à New York,288,52.2,3 681 ,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30 - 3h,-1,NewYork
Excursion aux Chutes du Niagara,415,171.4,5 887 ,7.70 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,19h - 20h,Anglais,NewYork
Billet pour le Musée de la Ville de New York,-1,236.5,62 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,NewYork
Visite de Lower East Side,-1,19,2 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3h30,Français,NewYork
Visite à travers les scènes de films et de séries de Central Park,9,49,200 ,7.30 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Français,NewYork
Visite d'Union Square,1,34.2,2 ,-1,Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance: nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3h30,Français,NewYork
The Ride Experience,7,52.2,71 ,8.60 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,1h15,Anglais,NewYork
Excursion de 2 jours aux chutes du Niagara,-1,75,49 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 jours,Français,NewYork
Billet pour la cathédrale Saint-Patrick avec audioguide,-1,356.3,86 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Français et d'autres langues,NewYork
Visite du pont de Brooklyn,-1,19,1 voyageur,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3h30,Français,NewYork
Balade en vélo dans Central Park,70,49,790 ,9.40 / 10,Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 24 heures d’avance: nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Français,NewYork
Niagara,-1,56.8,3 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,5 jours,Français,NewYork
Visite guidée de SoHo,-1,897.9,10 ,-1,Si vous annulez avec plus de 3 jours d’avance: nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3h30,Français,NewYork
Visite gastronomique dans Little Italy et Chinatown,1,49,34 ,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 heures,Anglais,NewYork
Déjeuner-croisière au sud de Manhattan,-1,75,281 ,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2 heures,-1,NewYork
Visite à la découverte des super-héros de New York,-1,105.4,40 ,-1,Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance: nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3h30,Français,NewYork
Billet pour Wicked,13,56,466 ,9.20 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,-1,NewYork
Circuit sur les pas de la série Les Soprano,1,160.5,4 ,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,4 heures,Anglais,NewYork
Billet pour Madame Tussauds,16,68.4,9 ,8.90 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,NewYork
Billet pour le Moulin Rouge,-1,38.2,2 119 ,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h40,-1,NewYork
Billet pour SPYSCAPE,-1,104.5,12 ,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,NewYork
Location de voilier avec capitaine,-1,40.3,64 ,-1,Si vous annulez avec plus de 6 jours d’avance: nous vous rembourserons 85%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2h - 3h,-1,NewYork
Excursion à Washington DC et Philadelphie,140,617.6,3 ,8.20 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,17 heures,Anglais et espagnol,NewYork
Visite gastronomique à travers l'East Village,-1,141.5,45 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3 heures,Français,NewYork
Billet pour LEGOLAND New York,-1,69,255 ,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,NewYork
The Tour Experience,4,77.5,19 ,44840,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,Anglais,NewYork
Visite privée en limousine dans New York,-1,37,24 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Anglais,NewYork
Excursion à Southampton,-1,593.8,4 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour,Français,NewYork
Billet pour MJ,4,160.5,120 ,9.50 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2 heures,-1,NewYork
Visite guidée dans Central Park,-1,182.4,99 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3h30,Français,NewYork
Balade en bateau à grande vitesse,6,49,638 ,8.70 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,30 minutes,Anglais,NewYork
Billet pour les New York Yankees,-1,28.5,1 409 ,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,-1,NewYork
Visite gastronomique à pied dans Harlem,-1,34.2,1 534 ,-1,Gratuit ! Annulez sans frais jusqu'à 15 jours avant l'activité. Si vous annulez avec plus de 48 heures d’avance: nous vous rembourserons 85%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,4 heures,Anglais,NewYork
Visite privée dans New York à vélo,-1,94,2 273 ,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Français,NewYork
Visite à la découverte du Sud de Manhattan,-1,188.1,20 ,-1,Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance: nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3h30,Français,NewYork
Circuit Sex and the City à New York,15,52.2,311 ,8.30 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3h30,Anglais,NewYork
Visite de Central Park en trottinette électrique,4,62.7,2 ,5.50 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Français,NewYork
Visite festive à New York,14,54.1,1 655 ,6.70 / 10,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 heures,Anglais,NewYork
Visite de nuit en bus à toit ouvert,43,61.7,64 ,44841,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1h30,Français,NewYork
Billet pour la NBA : New York Knicks,87,41.9,97 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3 heures,-1,NewYork
Billet pour Le Roi Lion,218,115.2,9 ,9.60 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,-1,NewYork
Billet pour le Radio City Music Hall,3,165,567 ,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,NewYork
Bus touristique de Washington DC,40,42.4,759 ,44841,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour - 2 jours,Français,Washington
Visite du Cimetière d'Arlington et des Mémoriaux de Washington,1,76.1,33 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,4 heures,Anglais,Washington
Carte eSIM avec Internet aux États-Unis,14,21.6,,6.70 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,10 jours - 30 jours,-1,Washington
Visite guidée de Washington DC,-1,62.6,4 ,-1,Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 heures,Français,Washington
Balade en segway dans Washington DC,-1,61.6,9 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2h30,Anglais,Washington
Train touristique du cimetière d'Arlington,-1,62.6,20 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,1 jour,Anglais,Washington
Excursion shopping au Leesburg Premium Outlets,1,17.3,4 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Anglais, espagnol et d'autres langues,Washington
Visite de nuit en bus décapotable,-1,57.7,6 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1h30,Français,Washington
Déjeuner-croisière à Washington,-1,42.4,2 ,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2 heures,-1,Washington
Dîner-croisière à Washington,-1,107.6,1 voyageur,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,-1,Washington
Balade à vélo dans Washington,-1,198.4,8 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 heures,Anglais,Washington
Excursion à Muir Woods et Sausalito,-1,75,32 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,4h - 6h,Anglais,San Francisco
Bus touristique de San Francisco,134,47,2 541 ,8.60 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour - 2 jours,Français,San Francisco
Location de vélos à San Francisco,2,30.4,59 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour,-1,San Francisco
Go City : San Francisco Explorer Pass,6,55.1,122 ,9.30 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,-1,San Francisco
Go City : San Francisco All-Inclusive Pass,35,63.6,602 ,8.50 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour - 5 jours,-1,San Francisco
Croisière sous les ponts de San Francisco,107,45.6,1 356 ,9.50 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,Français,San Francisco
Balade en bateau dans la Baie de San Francisco,142,55.6,2 448 ,9.40 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,1 heure,Français,San Francisco
Free tour dans San Francisco,988,36.1,7 930 ,9.30 / 10,-1,2h30,Anglais,San Francisco
Carte eSIM avec Internet aux États-Unis,14,0,,6.70 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,10 jours - 30 jours,-1,San Francisco
San Francisco CityPASS,-1,21.3,18 ,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,9 jours,-1,San Francisco
Visite des quartiers historiques dans San Francisco,-1,72.2,6 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3h30,Français,San Francisco
Visite privée dans San Francisco avec guide francophone,1,49,6 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Français,San Francisco
Circuit de 7 jours à San Francisco,-1,237.5,5 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,7 jours,Français,San Francisco
Excursion au Parc National de Yosemite,286,1263,2 409 ,7.80 / 10,Si vous annulez avec plus de 3 jours d’avance: vous aurez à payer une pénalité de 35 US$ (33:70 €). Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Anglais,San Francisco
Visite de nuit de San Francisco en bus à toit ouvert,8,189,217 ,5.80 / 10,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1h30,Anglais,San Francisco
Visite de San Francisco et d'Alcatraz,2,33.2,60 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,7h30,Anglais,San Francisco
Visite guidée dans le San Francisco alternatif et artistique,1,118.7,3 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3h30,Français,San Francisco
Visite complète de San Francisco,2,49,28 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,4 heures,Anglais,San Francisco
Balade en catamaran au coucher de soleil,8,57,129 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1h30,Français,San Francisco
Free tour de nuit dans San Francisco,37,71.2,305 ,7.80 / 10,-1,2 heures,Anglais,San Francisco
Vol au dessus de la baie de San Francisco en hydravion,1,0,15 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,20 min - 1h,Anglais,San Francisco
Visite des points de vue et des collines de San Francisco,-1,179.5,1 voyageur,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 heures,Français,San Francisco
Visite dans Fisherman's Wharf,-1,45.6,824 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 heure,Anglais,San Francisco
Muir Woods et les vignobles de Californie,97,23.7,2 ,7.90 / 10,Si vous annulez avec plus de 3 jours d’avance: vous aurez à payer une pénalité de 35 US$ (33:70 €). Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,-1,Espagnol,San Francisco
Balade à vélo dans San Francisco + Alcatraz,-1,160.5,32 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,2 jours,Anglais,San Francisco
Visite du San Francisco iconique,-1,122.5,2 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,3 heures,Français,San Francisco
Balade en catamaran dans la baie de San Francisco,2,45.6,11 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1h30,Français,San Francisco
Billet pour Madame Tussauds,-1,57,17 ,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,San Francisco
Visite gastronomique dans San Francisco,2,28.4,26 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Anglais,San Francisco
Croisière à San Francisco avec déjeuner,-1,61.7,51 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3 heures,-1,San Francisco
Balade en segway dans San Francisco,1,106.4,15 ,-1,Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2h30,Anglais,San Francisco
Vol en avion à San Francisco,2,75,268 ,-1,Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,40 min - 1h30,Anglais,San Francisco
Balade en GoCar dans San Francisco,4,492.1,19 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1h - 3h,Français,San Francisco
Excursion aux vallées viticoles de Napa et Sonoma,4,87.8,35 ,9.50 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,8 heures,Anglais,San Francisco
Bus touristique de San Francisco + Billet pour Alcatraz,8,141.5,2 ,7.50 / 10,Gratuit ! Annulez sans frais jusqu'à 10 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,1 jour,-1,San Francisco
Visite à la découverte des nouvelles technologies à San Francisco,-1,104.5,2 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Anglais,San Francisco
Billets pour les Universal Studios Hollywood,154,108.3,3 728 ,9.50 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,Los Angeles
Visite guidée à travers Hollywood Boulevard,-1,39,10 ,-1,Non remboursable. Cette activité n'admet pas d'annulation.,2h30,Français,Los Angeles
Carte eSIM avec Internet aux États-Unis,14,21.3,,6.70 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,10 jours - 30 jours,-1,Los Angeles
Cours de surf à Venice Beach,1,56,62 ,-1,Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas: aucun remboursement ne vous sera proposé.,2 heures,Anglais,Los Angeles
